town,resale_price_count,resale_price_min,resale_price_max,resale_price_median,floor_area_sqm_min,floor_area_sqm_max,floor_area_sqm_median,lease_commence_date_min,lease_commence_date_max
ANG MO KIO,8877,174000.0,1500000.0,410000.0,44.0,178.0,82.0,1976,2019
BEDOK,11313,180000.0,1270000.0,425000.0,44.0,176.0,88.0,1972,2021
BISHAN,3800,210000.0,1588000.0,682000.0,63.0,190.0,105.0,1973,2011
BUKIT BATOK,8968,208000.0,1088000.0,465000.0,37.0,165.0,93.0,1983,2021
BUKIT MERAH,8244,157000.0,1588000.0,650000.0,31.0,163.0,90.0,1967,2019
BUKIT PANJANG,7790,200000.0,1100000.0,478000.0,46.0,155.0,103.0,1986,2016
BUKIT TIMAH,530,300000.0,1501555.0,753944.0,63.0,154.0,104.0,1974,1989
CENTRAL AREA,1695,200000.0,1600000.0,560000.0,41.0,146.0,82.0,1971,2011
CHOA CHU KANG,9828,200000.0,980000.0,485000.0,46.0,182.0,106.0,1978,2018
CLEMENTI,4837,205000.0,1458888.0,488000.0,44.0,163.0,82.0,1978,2021
GEYLANG,5336,150000.0,1310000.0,450000.0,40.0,160.0,84.0,1967,2020
HOUGANG,10968,195000.0,1280000.0,485000.0,38.0,177.0,100.0,1975,2021
JURONG EAST,4424,200000.0,1186800.0,440000.0,43.0,173.0,94.0,1966,2020
JURONG WEST,14364,175000.0,980000.0,453844.0,37.0,159.0,104.0,1970,2019
KALLANG/WHAMPOA,6580,185000.0,1540000.0,555000.0,42.0,163.0,89.0,1969,2020
MARINE PARADE,1330,180000.0,1200000.0,488000.0,42.0,147.0,79.0,1975,1978
PASIR RIS,6244,180000.0,1238000.0,560000.0,47.0,190.0,122.0,1980,2015
PUNGGOL,15846,225000.0,1230000.0,525000.0,37.0,149.0,93.0,2002,2021
QUEENSTOWN,5846,182000.0,1658888.0,650000.0,43.0,156.0,83.0,1967,2022
SEMBAWANG,6520,195000.0,878000.0,488000.0,38.0,143.0,95.0,1998,2021
SENGKANG,17810,196000.0,1058000.0,510000.0,38.0,149.0,94.0,1998,2021
SERANGOON,3870,170000.0,1268000.0,525000.0,44.0,165.0,100.0,1978,1999
TAMPINES,14783,150000.0,1208000.0,535000.0,45.0,190.0,104.0,1982,2021
TOA PAYOH,6972,140000.0,1600000.0,485000.0,38.0,166.0,82.0,1967,2021
WOODLANDS,15401,150000.0,1270000.0,450000.0,37.0,192.0,102.0,1974,2019
YISHUN,14830,190000.0,1288888.0,425000.0,38.0,187.0,92.0,1978,2021
